k4mobility@vmhost-1:~/ops/scanvoe$ python3 table.py
           Date      Time                DID                       DP                    SiteName                                           Event
297  2024-08-05  03:30:26  ES1K43ACBAA002387                      KVH             A.R.A. LIBERTAD                      Dropped from 38.101.194.20
81   2024-08-01  14:30:16  ES1K43ACBAA002387                      KVH             A.R.A. LIBERTAD  IP changed from 38.101.194.21 to 38.101.194.20
200  2024-08-03  22:30:19  ES1K39AABAA001840         Crowley Shipping                     Admiral  IP changed from 38.101.194.21 to 38.101.194.20
86   2024-08-01  22:30:10  ES1K39AABAA001840         Crowley Shipping                     Admiral  IP changed from 38.101.194.20 to 38.101.194.21
79   2024-08-01  14:30:16  ES1K39AABAA001840         Crowley Shipping                     Admiral  IP changed from 38.101.194.21 to 38.101.194.20
63   2024-08-01  03:30:17  ES1K39AABAA001840         Crowley Shipping                     Admiral  IP changed from 38.101.194.20 to 38.101.194.21
31   2024-07-31  14:30:17  ES1K39AABAA001840         Crowley Shipping                     Admiral  IP changed from 38.101.194.21 to 38.101.194.20
20   2024-07-31  07:30:16  ES1K39AABAA001840         Crowley Shipping                     Admiral  IP changed from 38.101.194.20 to 38.101.194.21
201  2024-08-03  22:30:19  ES1K37AABAA001554         Crowley Shipping                  Adventurer  IP changed from 38.101.194.21 to 38.101.194.20
92   2024-08-02  03:30:18  ES1K3CAABAA002025                  Satlink             Albacora Cuatro                          Added to 164.52.154.20
294  2024-08-05  03:30:26  ES1K36AABAA001414                  Satlink                Albacora Uno                          Added to 38.101.194.20
124  2024-08-03  07:30:14  ES1K36AABAA001414                  Satlink                Albacora Uno                      Dropped from 38.101.194.20
111  2024-08-03  03:30:10  ES1K36AABAA001414                  Satlink                Albacora Uno                          Added to 38.101.194.20
84   2024-08-01  14:30:16  ES1K36AABAA001414                  Satlink                Albacora Uno                      Dropped from 38.101.194.20
62   2024-08-01  03:30:17  ES1K36AABAA001414                  Satlink                Albacora Uno                          Added to 38.101.194.20
25   2024-07-31  07:30:16  ES1K36AABAA001414          Clarus Networks                Albacora Uno                      Dropped from 38.101.194.20
0    2024-07-31  05:19:53  ES1K36AABAA001414                  Satlink                Albacora Uno                          Added to 38.101.194.20
9    2024-07-31  05:25:30  ES1K36AABAA001414                  Satlink                Albacora Uno                          Added to 38.101.194.20
206  2024-08-03  22:30:19  ES1K42AABAA002195          Clarus Networks                     Andover                           Added to 188.65.37.66
137  2024-08-03  14:32:35  ES1K42AABAA002195          Clarus Networks                     Andover                       Dropped from 188.65.37.66
82   2024-08-01  14:30:16  ES1K39AABAA001810         Crowley Shipping                      Apollo  IP changed from 38.101.194.20 to 38.101.194.21
252  2024-08-03  22:30:19  ES1K34AABAA001168          Clarus Networks              Argeo Searcher                           Added to 188.65.37.66
183  2024-08-03  14:32:35  ES1K34AABAA001168          Clarus Networks              Argeo Searcher                       Dropped from 188.65.37.66
36   2024-07-31  14:30:17  EF1K43ABCAA000323                      KVH                  Baldu Arna                          Added to 38.101.194.21
77   2024-08-01  07:30:17  EF1K43ABCAA000323                      KVH                  Baldu Arna                      Dropped from 38.101.194.21
26   2024-07-31  07:30:16  EF1K43ABCAA000323          Clarus Networks                  Baldu Arna                      Dropped from 38.101.194.21
199  2024-08-03  14:32:35  ES1K42AABAA002251          Clarus Networks           Benbrack Windfarm                       Dropped from 188.65.37.66
268  2024-08-03  22:30:19  ES1K42AABAA002251          Clarus Networks           Benbrack Windfarm                           Added to 188.65.37.66
109  2024-08-02  22:30:11  ES1K33AABAA001089    Marine Data Solutions                   Blue Chip                      Dropped from 38.101.194.21
113  2024-08-03  03:30:10  ES1K33AABAA001089    Marine Data Solutions                   Blue Chip                          Added to 38.101.194.21
280  2024-08-04  14:30:18  ES1K43ACBAA002336                      KVH                   CORIO BAY                          Added to 38.101.194.20
165  2024-08-03  14:32:35  ES1K38AABAA001736       Charity and Taylor              Centrica FCARS                       Dropped from 188.65.37.66
234  2024-08-03  22:30:19  ES1K38AABAA001736       Charity and Taylor              Centrica FCARS                           Added to 188.65.37.66
129  2024-08-03  14:32:35  ES1K36AABAA001475         Crowley Shipping            Coastal Reliance  IP changed from 38.101.194.20 to 38.101.194.21
35   2024-07-31  14:30:17  ES1K36AABAA001475         Crowley Shipping            Coastal Reliance                          Added to 38.101.194.20
66   2024-08-01  03:30:17  ES1K3CAABAA001998          Clarus Networks           Commbox Edge Demo                      Dropped from 164.52.154.20
46   2024-07-31  22:30:16  ES1K3CAABAA001998                      KVH           Commbox Edge Demo                          Added to 164.52.154.20
242  2024-08-03  22:30:19  ES1K2BAABAA000235                Sat Elite                    Crazy Me                           Added to 188.65.37.66
173  2024-08-03  14:32:35  ES1K2BAABAA000235                Sat Elite                    Crazy Me                       Dropped from 188.65.37.66
87   2024-08-01  22:30:10  ES1K37AABAA001501         Crowley Shipping                    Defender                          Added to 38.101.194.21
224  2024-08-03  22:30:19  EF1K41ABBAA000215                      KVH               DemoFit000215                           Added to 188.65.37.66
102  2024-08-02  14:30:32  EF1K41ABBAA000215                      KVH               DemoFit000215   IP changed from 38.101.194.22 to 188.65.37.66
155  2024-08-03  14:32:35  EF1K41ABBAA000215                      KVH               DemoFit000215                       Dropped from 188.65.37.66
95   2024-08-02  03:30:18  ES1K41AABAA002040                      KVH              Ena Wizard - 2                      Dropped from 38.101.194.20
277  2024-08-04  07:30:10  ES1K35AABAA001320    Marine Data Solutions                    Evelyn P                       Dropped from 99.76.24.201
284  2024-08-04  14:30:18  ES1K35AABAA001320    Marine Data Solutions                    Evelyn P                           Added to 99.76.24.201
